well,gain_from_well
U00--V00,U00--V00
U01--V00,U00--V00
U02--V00,U00--V00
U03--V00,U03--V00
U04--V00,U03--V00
U05--V00,U03--V00
U06--V00,U06--V00
U07--V00,U06--V00
U08--V00,U06--V00
U09--V00,U09--V00
U10--V00,U09--V00
U11--V00,U09--V00
U00--V01,U00--V01
U01--V01,U00--V01
U02--V01,U00--V01
U03--V01,U03--V01
U04--V01,U03--V01
U05--V01,U03--V01
U06--V01,U06--V01
U07--V01,U06--V01
U08--V01,U06--V01
U09--V01,U09--V01
U10--V01,U09--V01
U11--V01,U09--V01
U00--V02,U00--V02
U01--V02,U00--V02
U02--V02,U00--V02
U03--V02,U03--V02
U04--V02,U03--V02
U05--V02,U03--V02
U06--V02,U06--V02
U07--V02,U06--V02
U08--V02,U06--V02
U09--V02,U09--V02
U10--V02,U09--V02
U11--V02,U09--V02
U00--V03,U00--V02
U01--V03,U00--V02
U02--V02,U00--V02
U03--V02,U03--V02
U04--V02,U03--V02
U05--V02,U03--V02
U06--V02,U06--V02
U07--V02,U06--V02
U08--V02,U06--V02
U09--V02,U09--V02
U10--V02,U09--V02
U11--V02,U09--V02
